model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
L2_0.1_3%,0.41695329546928406,0.8865657474633029,0.7962443632782735,0.8345921569347677,0.9454424558793472,0.40028366446495056,0.8988109185139763,0.8162185165340147,0.859990374993426,0.9413019198167565,False,False,False,False,False,False,False,False,False,False
L2_0.9_75%,0.11315453052520752,0.9458223376094858,0.8972134122674201,0.9528649130882177,0.9388831009836419,0.10402470827102661,0.9519099009570655,0.9082328912622148,0.958994960276124,0.944928762771943,False,False,False,True,False,False,False,False,False,False
L2_0.9_50%,0.10837268829345703,0.9452135625081558,0.8961184263572448,0.9434504397662608,0.9469832874453801,0.09929928183555603,0.9514147242539809,0.9073317604780347,0.9480001730189477,0.9548539617850317,False,False,False,False,False,False,False,False,False,False
L2_0.9_25%,0.10331729054450989,0.9458056332269749,0.8971833497101327,0.9488765583742745,0.9427545213181647,0.0957404375076294,0.9500213174546491,0.9048005766665798,0.9493395027643342,0.9507041122061131,False,False,False,False,False,False,False,False,False,False
L2_0.9_3%,0.34098389744758606,0.8958071744380299,0.8112778435977576,0.8402415394965137,0.959242401827921,0.32450243830680847,0.901837393606804,0.8212239137961524,0.8447397842627195,0.9672132214024246,False,False,False,False,False,False,False,False,False,False
L1_0.1_75%,0.11074841022491455,0.9467636808845546,0.8989090707389285,0.9481118396041353,0.9454193507242316,0.10082975029945374,0.9537411827329861,0.9115728985914806,0.9530924626786851,0.9543907864882136,False,True,True,False,False,False,True,True,False,False
L1_0.1_50%,0.105012446641922,0.9455872230860726,0.8967903688094834,0.952447273414575,0.9388252858217463,0.09569260478019714,0.9522635538063935,0.9088769959906777,0.9605388114611155,0.94412966463802,False,False,False,False,False,False,False,False,True,False
L1_0.1_25%,0.16900578141212463,0.9441544528287953,0.8942164461064884,0.9406477298717342,0.9476874196612324,0.15802866220474243,0.9495500054465066,0.9039459378074673,0.9475108715836021,0.9515979350602409,False,False,False,False,False,False,False,False,False,False
L1_0.1_3%,0.4513179361820221,0.8910454669664294,0.8035004505811019,0.8244289877319433,0.969373960071992,0.4333379864692688,0.8973456367047258,0.8138050023427241,0.8304062214263065,0.9760233103638208,False,False,False,False,True,False,False,False,False,True
L1_0.9_75%,0.11242610216140747,0.9462427052803523,0.8979702537025854,0.950829721271374,0.9416997343952643,0.10404476523399353,0.9514223074209001,0.9073455540340222,0.9528955547656608,0.9499536085436375,False,False,False,False,False,False,False,False,False,False
L1_0.9_50%,0.10647639632225037,0.9453699272463626,0.8963995543745525,0.9499665675975308,0.940817556572345,0.09821867942810059,0.9508799539710526,0.906359532038544,0.9541858111635659,0.9475969245318001,False,False,False,False,False,False,False,False,False,False
L1_0.9_25%,0.10658389329910278,0.9443355448828776,0.8945413860487581,0.9410429652497531,0.9476512459794678,0.09652099013328552,0.9525291911433865,0.9093610849004355,0.9501915062427729,0.9548784068741167,False,False,False,False,False,False,False,False,False,False
L1_0.9_3%,0.5373215675354004,0.8888730209194072,0.7999742942565479,0.8257752775928853,0.9624111536215763,0.5190604329109192,0.8970869460124736,0.8133795703742025,0.8358731814863417,0.9679749619203668,False,False,False,False,False,False,False,False,False,False
